,Name,User_name,Date,Content,Comments,Forward,Like,language,1,Restaurant
42,Spab God,@MrSpab·2019年10月8日,2019-10-07,"If you want one of the best pizzas in New York, go to Bleecker Street Pizza, you’re welcome in advance",1,,1,en,,Bleecker Street Pizza New York
43,lucyhedges,@lucyhedges·2019年10月5日,2019-10-05,It wouldn’t be a proper trip to NYC without a trip to @bleeckerpizza  #bleeckerstreetpizza #favourite #nyc #newyork #newyoik #pizzapizzapizza #loveit #bleeckerstreet @ Bleecker Street Pizza https://instagram.com/p/B3OOpL4AxWP/?igshid=1huliajjoq72c…,,,3,en,,Bleecker Street Pizza New York
44,Vegan Spy ,@vegan_spy·2019年9月30日,2019-09-30,Spying on artisticpizzanyc on Bleecker Street! The slices are so good - made with violife_foods and fieldroast - this is real New York pizza! ......#nycveganpizza #veganpizza #nondairypizza #nondairy… https://instagram.com/p/B3CdnpapcX_/?igshid=p92ykhg4czso…,,,,en,,Bleecker Street Pizza New York
45,Gary M King,@GMKing79·2019年9月2日,2019-09-01,"Good simple pizza! (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY)",,,,en,,Bleecker Street Pizza New York
46,Alfonso Fuggetta,@AlfonsoFuggetta·2019年8月3日,2019-08-03,"Dicono sia la miglior pizza di Manhattan. Mo vediamo. I'm at John's of Bleecker Street in New York, NY https://swarmapp.com/alfonsofuggetta/checkin/5d45c1062bb26c0008d562e6?s=lg1SlHkQ8KOReIKETlA_b6skmxA&ref=tw…",3,1,5,it,,Bleecker Street Pizza New York
47,Christopher Micun,@Cmicun01·2019年7月27日,2019-07-27,What would a trip to NY be without some pizza. Cowabunga dudes!!!! #newyork #nyc #johnsofbleekerstreet #pizza @ John's of Bleecker Street https://instagram.com/p/B0bjMF8ps4u/?igshid=1bc6y3h4wrzny…,,,,en,,Bleecker Street Pizza New York
48,JIDDY,@JiddyCommittee·2019年7月7日,2019-07-07,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/7BjSLSctkuJ",,,,en,,Bleecker Street Pizza New York
49,خالد,@khalidalbedayri·2019年7月5日,2019-07-05,"محصول اليوم من التصوير.New York and New Jerseyخبروني إذا في تحسن فتصويري 2nd is John's Pizza on Bleecker Street , apparently its famous",1,,,und,,Bleecker Street Pizza New York
50,Joseph Numbini,@JOEYNUMB69·2019年6月25日,2019-06-25,"Needed a slice after all that FREE Jameo that the Apollo gave us!!! (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/fBVJ0TMA5bv",,,,en,,Bleecker Street Pizza New York
51,Saurabh Jhaveri,@saurabhj86·2019年5月29日,2019-05-29,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/7gXQgoWcRPx",,,,en,,Bleecker Street Pizza New York
52,ButtFuckMagoo,@MilduraRitie·2019年4月21日,2019-04-21,"Bleecker street pizza. Mam, if you never ever listen to a thing I say after this, please listen to this. Bleecker Street Pizza will change you drunk, and/or hungover ass. 69 7th Ave S, New York, NY 10014",1,,1,en,,Bleecker Street Pizza New York
53,Adam Cain,@Adamicus89·2019年3月30日,2019-03-30,"John pizza on bleecker street. Officially the best pizza in New York, a great little restaurant full of history and character and a really nice part of the city! Seriously you won’t be disappointed",1,,3,en,,Bleecker Street Pizza New York
